Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,1.136455,1.136455,1.000400,1.000400,1.000400,20992
2019-03-04,1.000400,1.000400,1.000400,1.000400,1.000400,1000
2019-03-05,1.000400,1.000400,1.000400,1.000400,1.000400,500
2019-03-06,1.120448,1.120448,1.120448,1.120448,1.120448,500
2019-03-07,1.120448,1.232493,1.120448,1.120448,1.120448,1499
2019-03-08,1.120448,1.120448,1.120448,1.120448,1.120448,500
2019-03-11,1.120448,1.120448,1.120448,1.120448,1.120448,500
2019-03-12,1.120448,1.120448,1.120448,1.120448,1.120448,500
2019-03-13,1.120448,1.120448,1.120448,1.120448,1.120448,500
2019-03-14,1.120448,1.120448,1.120448,1.120448,1.120448,0
2019-03-15,1.060424,1.060424,1.060424,1.060424,1.060424,500
2019-03-18,1.060424,1.060424,1.060424,1.060424,1.060424,500
2019-03-19,1.000400,1.000400,1.000400,1.000400,1.000400,1499
2019-03-20,1.000400,1.000400,1.000400,1.000400,1.000400,500
2019-03-21,1.292517,1.292517,1.162465,1.162465,1.162465,4998
2019-03-22,1.162465,1.162465,1.162465,1.162465,1.162465,500
2019-03-25,1.218487,1.218487,1.218487,1.218487,1.218487,1000
2019-03-26,1.200480,1.242497,1.200480,1.200480,1.200480,21991
2019-03-27,1.200480,1.200480,1.200480,1.200480,1.200480,500
2019-03-28,1.184474,1.184474,1.184474,1.184474,1.184474,500
2019-03-29,1.250500,1.520608,1.210484,1.210484,1.210484,18493
2019-04-01,1.004402,1.100440,1.000400,1.100440,1.100440,7997
2019-04-02,1.146459,1.146459,1.146459,1.146459,1.146459,5498
2019-04-03,1.300520,1.574630,1.300520,1.366547,1.366547,18493
2019-04-04,1.584634,1.608643,1.202481,1.530612,1.530612,78968
2019-04-05,1.604642,1.604642,1.452581,1.458583,1.458583,13495
2019-04-08,1.458583,1.592637,1.402561,1.402561,1.402561,22991
2019-04-09,1.504602,1.530612,1.346539,1.400560,1.400560,40984
2019-04-10,1.374550,1.464586,1.224490,1.282513,1.282513,19492
2019-04-11,1.300520,1.300520,1.024410,1.270508,1.270508,10496
2019-04-12,1.102441,1.456583,1.102441,1.200480,1.200480,8996
2019-04-15,1.200480,1.200480,1.200480,1.200480,1.200480,500
2019-04-16,1.200480,1.200480,1.200480,1.200480,1.200480,1499
2019-04-17,1.200480,1.200480,1.200480,1.200480,1.200480,2499
2019-04-18,1.200480,1.200480,1.200480,1.200480,1.200480,500
2019-04-22,1.200480,1.200480,1.200480,1.200480,1.200480,1000
2019-04-23,1.200480,1.200480,1.200480,1.200480,1.200480,500
2019-04-24,1.250500,1.378551,1.250500,1.348539,1.348539,7997
2019-04-25,1.410564,1.978792,1.410564,1.906763,1.906763,225910
2019-04-26,1.900760,1.916767,1.620648,1.800720,1.800720,89464
2019-04-29,1.900760,1.900760,1.548619,1.548619,1.548619,52479
2019-04-30,1.784714,1.788715,1.520608,1.650660,1.650660,34986
2019-05-01,1.748699,1.748699,1.560624,1.706683,1.706683,9496
2019-05-02,1.742697,1.742697,1.548619,1.666667,1.666667,13994
2019-05-03,1.680672,1.788715,1.624650,1.774710,1.774710,41483
2019-05-06,1.630652,1.780712,1.600640,1.768707,1.768707,12995
2019-05-07,1.756703,1.776711,1.738695,1.738695,1.738695,6497
2019-05-08,1.648659,1.740696,1.572629,1.572629,1.572629,24490
2019-05-09,1.688675,1.688675,1.558623,1.634654,1.634654,5998
2019-05-10,1.540616,1.636655,1.540616,1.636655,1.636655,5998
2019-05-13,1.516607,1.624650,1.502601,1.596639,1.596639,12495
2019-05-14,1.568627,1.594638,1.500600,1.594638,1.594638,12995
2019-05-15,1.600640,1.700680,1.600640,1.700680,1.700680,4998
2019-05-16,1.704682,1.704682,1.668667,1.668667,1.668667,5498
2019-05-17,1.660664,1.688675,1.570628,1.660664,1.660664,18493
2019-05-20,1.644658,1.644658,1.532613,1.532613,1.532613,6497
2019-05-21,1.538615,1.602641,1.532613,1.600640,1.600640,18992
2019-05-22,1.598639,1.598639,1.440576,1.540616,1.540616,21991
2019-05-23,1.314526,1.500600,1.314526,1.466587,1.466587,9496
2019-05-24,1.496599,1.496599,1.334534,1.430572,1.430572,9996
2019-05-28,1.400560,1.468587,1.340536,1.468587,1.468587,2499
2019-05-29,1.340536,1.340536,1.284514,1.284514,1.284514,5498
2019-05-30,1.310524,1.406563,1.280512,1.406563,1.406563,6497
2019-05-31,1.406563,1.406563,1.406563,1.406563,1.406563,500
2019-06-03,1.400560,1.800720,1.400560,1.700680,1.700680,14494
2019-06-04,2.000800,2.000800,1.618647,1.766707,1.766707,10996
2019-06-05,2.082833,2.082833,1.602641,1.746699,1.746699,39484
2019-06-06,1.628651,1.748699,1.590636,1.748699,1.748699,5998
2019-06-07,1.748699,1.748699,1.748699,1.748699,1.748699,500
2019-06-10,1.738695,1.974790,1.738695,1.848739,1.848739,7997
2019-06-11,1.674670,1.850740,1.674670,1.800720,1.800720,5998
2019-06-12,1.738695,1.894758,1.714686,1.840736,1.840736,7997
2019-06-13,1.782713,1.830732,1.634654,1.634654,1.634654,24990
2019-06-14,1.720688,1.780712,1.678671,1.740696,1.740696,5998
2019-06-17,1.676671,1.676671,1.642657,1.642657,1.642657,2499
2019-06-18,1.690676,1.772709,1.640656,1.772709,1.772709,5998
2019-06-19,1.734694,1.742697,1.734694,1.742697,1.742697,3998
2019-06-20,1.690676,1.730692,1.690676,1.730692,1.730692,7997
2019-06-21,1.788715,1.788715,1.788715,1.788715,1.788715,1000
2019-06-24,1.800720,1.800720,1.710684,1.750700,1.750700,5998
2019-06-25,1.790716,1.900760,1.586635,1.692677,1.692677,143942
2019-06-26,1.900760,2.042817,1.592637,1.728691,1.728691,38984
2019-06-27,1.714686,1.746699,1.592637,1.592637,1.592637,9996
2019-06-28,1.430572,1.612645,1.240496,1.440576,1.440576,48481
2019-07-01,1.596639,1.596639,1.420568,1.572629,1.572629,16993
2019-07-02,1.420568,1.564626,1.382553,1.382553,1.382553,12995
2019-07-03,1.346539,1.620648,1.346539,1.450580,1.450580,13495
2019-07-05,1.352541,1.400560,1.340536,1.340536,1.340536,17993
2019-07-08,1.360544,1.496599,1.358543,1.496599,1.496599,12495
2019-07-09,1.406563,1.622649,1.380552,1.622649,1.622649,12995
2019-07-10,1.596639,1.596639,1.300520,1.494598,1.494598,14994
2019-07-11,1.488595,1.488595,1.332533,1.400560,1.400560,13994
2019-07-12,1.396559,1.398559,1.322529,1.390556,1.390556,9496
2019-07-15,1.400560,1.400560,1.358543,1.358543,1.358543,4998
2019-07-16,1.390556,1.390556,1.300520,1.300520,1.300520,4998
2019-07-17,1.316527,1.374550,1.300520,1.374550,1.374550,6497
2019-07-18,1.270508,1.340536,1.242497,1.300520,1.300520,15994
2019-07-19,1.394558,1.394558,1.380552,1.394558,1.394558,21991
2019-07-22,1.400560,1.572629,1.400560,1.520608,1.520608,30988
2019-07-23,1.470588,1.470588,1.362545,1.362545,1.362545,2499
2019-07-24,1.520608,1.520608,1.376551,1.520608,1.520608,15994
2019-07-25,1.488595,1.518607,1.412565,1.518607,1.518607,14994
2019-07-26,1.500600,1.500600,1.448579,1.448579,1.448579,1999
2019-07-29,1.450580,1.450580,1.354542,1.430572,1.430572,6997
2019-07-30,1.362545,1.400560,1.354542,1.400560,1.400560,4998
2019-07-31,1.406563,1.406563,1.406563,1.406563,1.406563,2499
2019-08-01,1.384554,1.384554,1.384554,1.384554,1.384554,2999
2019-08-02,1.350540,1.470588,1.336535,1.470588,1.470588,5498
2019-08-05,1.350540,1.470588,1.336535,1.470588,1.470588,500
2019-08-06,1.478591,1.478591,1.322529,1.322529,1.322529,32487
2019-08-07,1.360544,1.360544,1.352541,1.354542,1.354542,6997
2019-08-08,1.300520,1.444578,1.244498,1.324530,1.324530,15994
2019-08-09,1.398559,1.398559,1.398559,1.398559,1.398559,2999
2019-08-12,1.322529,1.324530,1.320528,1.324530,1.324530,7497
2019-08-13,1.400560,1.400560,1.400560,1.400560,1.400560,1499
2019-08-14,1.360544,1.360544,1.320528,1.322529,1.322529,9996
2019-08-15,1.340536,1.340536,1.238495,1.238495,1.238495,16993
2019-08-16,1.264506,1.390556,1.264506,1.390556,1.390556,5998
2019-08-19,1.390556,1.390556,1.390556,1.390556,1.390556,0
2019-08-20,1.390556,1.390556,1.390556,1.390556,1.390556,0
2019-08-21,1.254502,1.338535,1.254502,1.288515,1.288515,6497
2019-08-22,1.288515,1.288515,1.288515,1.288515,1.288515,0
2019-08-23,1.318527,1.318527,1.318527,1.318527,1.318527,1000
2019-08-26,1.330532,1.360544,1.300520,1.302521,1.302521,6997
2019-08-27,1.302521,1.302521,1.302521,1.302521,1.302521,0
2019-08-28,1.302521,1.302521,1.302521,1.302521,1.302521,0
2019-08-29,1.224490,1.282513,1.224490,1.256503,1.256503,7997
2019-08-30,1.256503,1.256503,1.256503,1.256503,1.256503,0
2019-09-03,1.320528,1.500600,1.320528,1.420568,1.420568,121951
2019-09-04,1.422569,1.620648,1.346539,1.520608,1.520608,107957
2019-09-05,1.632653,1.632653,1.440576,1.480592,1.480592,47481
2019-09-06,1.600640,1.600640,1.480592,1.500600,1.500600,88465
2019-09-09,1.470588,1.548619,1.470588,1.544618,1.544618,26989
2019-09-10,1.562625,1.806723,1.440576,1.440576,1.440576,159436
2019-09-11,1.440576,1.492597,1.422569,1.460584,1.460584,60476
2019-09-12,1.420568,1.430572,1.400560,1.402561,1.402561,89464
2019-09-13,1.414566,1.552621,1.410564,1.446579,1.446579,45982
2019-09-16,1.402561,1.492597,1.402561,1.426571,1.426571,23990
2019-09-17,1.484594,1.484594,1.360544,1.390556,1.390556,41983
2019-09-18,1.340536,1.370548,1.306523,1.352541,1.352541,7997
2019-09-19,1.340536,1.346539,1.226491,1.264506,1.264506,28489
2019-09-20,1.282513,1.288515,1.250500,1.272509,1.272509,10996
2019-09-23,1.268507,1.296519,1.220488,1.250500,1.250500,56477
2019-09-24,1.292517,1.308523,1.192477,1.206483,1.206483,78968
2019-09-25,1.272509,1.272509,1.200480,1.200480,1.200480,36485
2019-09-26,1.272509,1.272509,1.062425,1.072429,1.072429,122951
2019-09-27,1.124450,1.360544,1.124450,1.250500,1.250500,106957
2019-09-30,1.382553,1.460584,1.192477,1.232493,1.232493,84466
2019-10-01,1.306523,1.306523,1.296519,1.296519,1.296519,10996
2019-10-02,1.288515,1.288515,1.096439,1.096439,1.096439,182927
2019-10-03,1.190476,1.190476,1.022409,1.036415,1.036415,120952
2019-10-04,1.040416,1.040416,0.796319,0.948379,0.948379,104458
2019-10-07,0.980392,1.016407,0.870348,0.978391,0.978391,28988
2019-10-08,0.908363,0.960384,0.832333,0.912365,0.912365,36985
2019-10-09,0.880352,0.880352,0.832333,0.862345,0.862345,10496
2019-10-10,0.842337,0.880352,0.668267,0.690276,0.690276,106457
